"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
2331 7.924236 78.392926 1108.2911 0.14179177 0.24076442 0.000849917016770597
2332 3.2102329 77.995138 1406.7431 0.065024193 0.224332 0.0500410950925066
2333 3.0108111 76.268299 1381.8764 0.063595886 0.25379788 0.0522560767128323
2334 2.4114266 81.926236 1469.3322 0.052496554 0.33262593 0.0753971038259692
2335 2.4194948 67.200541 1364.0356 0.062464902 0.28098986 0.0690736178099132
2336 2.5013889 85.558261 1564.1663 0.046749323 0.27628137 0.077185175247991
2337 2.7005806 72.58319 1430.8383 0.053602271 0.29449441 0.0383856518626771
2518 5.6639722 62.164386 1053.992 0.12392712 0.29904928 0.000765918716481445
2519 5.4307984 50.668519 1319.2002 0.14199676 0.28184343 0.000620312972633279
2520 7.6547412 53.16887 1434.1458 0.1637508 0.30087424 0.000521103867023745
2521 2.0290355 52.72037 670.57603 0.12053312 0.28128419 0.00497876615290809
2522 3.4429383 67.503106 1443.3656 0.079977199 0.36449236 0.0451636959622219
2523 7.5134128 68.28228 1280.506 0.13580364 0.33324682 0.0015298497149456
2524 3.0717009 72.478729 1406.3282 0.068537383 0.30417552 0.0974260381139924
2525 2.9707556 66.98189 1359.7161 0.069089317 0.28828309 0.090286703833812
2526 2.5039747 75.058516 1523.2499 0.055308692 0.3207078 0.107973929459174
2527 3.0244331 85.269765 1563.0978 0.057019405 0.32025669 0.0478918690722332
2528 2.6343354 66.297713 1498.0225 0.060124642 0.30158261 0.112929266000248
2529 2.6692213 62.489445 1337.3653 0.061577513 0.30640457 0.0635682513269265
2710 6.0246553 68.728882 1329.9428 0.10983739 0.28981502 0.000703591867941961
2711 7.0234283 30.359861 395.07191 0.27980196 0.47311575 0.00026072062212651
2712 7.5207277 56.6018 1167.1766 0.16654853 0.29318964 0.000503284801853929
2713 2.9450666 61.33157 960.40528 0.1158987 0.27923306 0.00267650529386656
2714 3.4303077 56.664446 1383.17 0.097367085 0.36565038 0.0359649934831649
2715 9.2364885 67.737247 1311.6599 0.14719754 0.31783832 0.0034293399211363
2716 2.790959 71.958393 1454.9923 0.067597879 0.31061409 0.122340354335063
2717 2.839291 68.352987 1488.6042 0.063644108 0.2884616 0.130125859905208
2718 2.4630895 68.657638 1548.7324 0.059040132 0.30360534 0.136453129306926
2719 2.8902913 70.992889 1440.591 0.067458175 0.29489648 0.0601811711228032
2720 3.2839564 70.87352 1263.2757 0.06867779 0.31494725 0.0558503610885102
2721 2.3686853 75.975683 1522.9606 0.050282801 0.2961665 0.0871214905992529
2722 2.4881149 64.505943 1208.0878 0.056694554 0.17558894 0.0259394370773493
2725 2.2316373 57.796462 1420.0285 0.047196283 0.31040077 0.0170199914370467
2726 2.1598585 55.649083 1401.5 0.045929181 0.32499802 0.0198058270478045
2902 6.2634929 62.599907 1424.3434 0.11644151 0.29057966 0.000876887625538
2903 6.6921754 30.260662 487.68752 0.37262374 0.4072587 9.57670545094789e-05
2904 7.2485509 52.685512 988.52085 0.18180213 0.31107568 0.000387569548560338
2905 3.8901408 25.404822 326.30061 0.29852029 0.4876259 0.00117283516324349
2906 7.3125648 41.567599 977.46369 0.19166086 0.21535889 0.000550632434020724
2907 7.5638796 79.29097 1083.0708 0.13503001 0.25561711 0.00380654467673921
2908 2.7969533 69.491141 1434.5328 0.065155026 0.31988283 0.119024638070877
2909 3.3416873 87.589624 1511.8361 0.060756058 0.31227852 0.0774685860521817
2910 7.5142115 68.612631 1154.4971 0.10855103 0.27114625 0.0164420801361824
2911 3.9367428 80.263753 1454.929 0.065569317 0.29477422 0.0374707447539447
2912 3.0353838 72.573445 1354.0312 0.066642458 0.30533184 0.0611625325466733
2913 2.2890436 71.533878 1349.5162 0.06135422 0.34156165 0.0357709042776173
2914 1.9312011 68.518156 1195.6364 0.056633711 0.24889686 0.0486826346561193
2917 2.4486106 66.391776 1630.964 0.040367205 0.33511494 0.0152469001210298
2918 1.8649231 56.243983 1357.5031 0.039981244 0.3366979 0.0140526470300242
3093 3.9427903 32.350456 589.59666 0.23902554 0.19285528 0.000802232233638526
3094 3.1841134 42.267481 748.46911 0.16405278 0.25827436 0.00670136886666935
3096 7.756393 25.24732 360.94185 0.3512732 0.44916847 0.000147578064691532
