Ecosystem type,Site Name,Soil classification,Soil depth,Sampling year,Delta14C bulk SOM,Delta14C Respired CO2,Delta14C DOM,Soil Layer description,Incubation by,plot or rep #,Control/Enriched,Other notes
Temperate deciduous forest,US-WCr,Spodosol,0-5 cm,2012,108.9,75.7,NA,mineral soil,Karis McFarlane,3,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,5-10 cm,2012,99.6,68.3,NA,mineral soil,Karis McFarlane,3,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,10-15 cm,2012,103.9,54.8,NA,mineral soil,Karis McFarlane,3,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,15.5-20.5 cm,2012,-90.5,50.3,NA,mineral soil,Karis McFarlane,3,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,41.5-45.5 cm,2012,-184.2,-99.2,NA,mineral soil,Karis McFarlane,3,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,0-5 cm,2012,46.1,72.1,NA,mineral soil,Karis McFarlane,4,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,5-10 cm,2012,11.6,75.0,NA,mineral soil,Karis McFarlane,4,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,15.5-20.5 cm,2012,-146.7,-141.3,NA,mineral soil,Karis McFarlane,4,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,23.5-28.5 cm,2012,-179.3,-182.8,NA,mineral soil,Karis McFarlane,4,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,38.5-43.5 cm,2012,-206.4,-125.2,NA,mineral soil,Karis McFarlane,4,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,72.5-77.5 cm,2012,-286.9,-149.8,NA,mineral soil,Karis McFarlane,4,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
