"Bulk","R14"
-232.101164484289,10.4951042868371
-8916957016.64582,8.60446936353787
-183695706934.347,8.4615906541361
-1113791654194.68,9.74055035153487
-358634817618.615,8.5638577441296
-1096631647106.82,9.36936391431642
-290.989621621222,8.46389796436164
-340.41841680826,11.8647493764374
-2674058415037.46,10.3815849844535
-342.45038913939,12.5922412491464
-732142192376.965,10.4187081576459
-149327950734.17,14.8814872999112
-424991130934.335,12.0956136423334
-163.88439484633,15.4026958582607
-371635635501.905,11.9969344518593
-548820566923.47,15.5736874396779
-132.03982571539,16.2407005036658
-388.327894255966,19.8876843715576
-450061299214.268,13.7547588946036
-306.802409560675,19.9223626819196
-123.257439201653,13.0714621154384
-1467093518395.51,17.003383673514
-331.229431076031,19.3196957700521
-3705322558.73194,13.2655907044825
-280.431324576544,19.8205151545448
-968382437.769404,18.5101785232404
-314.860377435235,15.4549833034994
-347.23801108925,20.0968023989039
-537401012.29927,19.9532677051002
-790132208153.016,19.2829768896536
-29376942209.9961,19.8111100963723
-1333978645073.78,19.8908864749359
-193909422733.319,20.0602375779635
-326.282654307328,15.7314362080816
-11702562917.4176,14.1528822588417
-630905532424.699,10.0616036394243
-220.891451926171,19.7607487251981
-1080868093324.6,15.7974604867732
-382.601947242603,12.5753124236589
-156787109089.693,17.8811770341729
-19273764358.8548,18.6042989262658
-1970497778621.79,18.8598901152521
-2269589913619.22,18.1107695809215
-1440145354203.07,18.8229824169939
-15125715157.6596,19.4667275446492
-225.613738882278,15.4472071716676
-127.46961734182,13.6981029043393
-342.370605445686,12.6740047750691
-307.000114288874,17.1255953802565
-598602335883.326,15.3646200782969
-398.01243501763,11.7186993104705
-709624997380.019,17.6642291338622
-975692014821.281,18.6284217511064
-2906948569516.78,18.6605350788847
-398870578208.078,18.124359459343
-373.02332844462,18.3972908348269
-1415445046638.99,20.0798900200383
-332.57218436884,20.4130003495198
-424645257177.543,19.75778622918
-368287923394.564,19.7407649947146
-200328280996.965,15.1486700037098
-178.289429803477,8.94758543769569
-314.952214090163,12.8342047420498
-114.549700205241,15.3574517492279
-297.478790074339,15.4818758004061
-313.908175258501,15.5208535655125
-536698076519.62,17.8782028526001
-855146757426.686,17.915148852198
-332.279148991228,16.0938021400716
-166354011231.356,17.9491145611645
-11474092507.1539,18.3957469999916
-77348941905.6511,18.4615686276171
-339.912120491358,19.3088004049398
-6151548411361.74,20.0233705008728
-119799952944.59,19.3082521376426
-178.415271033671,17.7041879721171
-249.756533225418,16.9687973134585
-123.070169293551,12.7124024675176
-540663792988.994,8.52524217921524
-377.587644090475,10.9271890134539
-533781114289.448,12.318985351516
-812913812805.012,16.5525416786665
-1936133031142.94,16.6739582635069
-201.269253165255,16.4724108759346
-129984359989.811,16.4347380075274
-431374477567.822,18.5654666322645
-317.718532553161,19.8976457471327
-330.536650855145,19.6522384610764
-336.538428012711,19.444969298418
-244445167799.041,19.5907764295558
-1296443587732.88,19.316553750433
-281.074949228032,15.8501362048415
-3927490952922.33,10.4022428458246
-8256132047800.1,-0.177116927431054
-227585690932.819,12.1199873507392
-1675823342356.84,16.0323097344175
-118885489006.59,16.0984593896363
-351.513406266251,15.4414233112821
