"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
1068 9.0940722 262.16126 1770.1465 0.064363218 0.25985613 0.435118903876921
1069 8.0316853 225.49787 1616.3902 0.068833087 0.27859295 0.277102097789739
1070 8.7106817 324.33228 1523.002 0.059452627 0.33425114 0.466136524875048
1071 7.7022867 273.69889 1411.3781 0.060305515 0.29269305 0.495926777806207
1072 8.4911002 315.86815 1572.307 0.063745177 0.32145405 0.340571796590426
1073 6.579156 294.31803 1519.0992 0.054361506 0.35268543 0.147336450842956
1164 8.8511591 295.08569 1406.1885 0.067017954 0.32134354 0.497613248600815
1165 8.5188486 141.09754 1404.3878 0.06379908 0.18052714 0.333179503871739
1166 8.3683512 317.19271 1690.2121 0.055066729 0.31239476 0.403225208100223
1167 8.063728 286.59902 1395.702 0.060729804 0.30055683 0.490057500201704
1168 7.6187412 258.96906 1418.9908 0.062539277 0.28553414 0.464980686879341
1169 7.7994445 296.83033 1561.968 0.057590974 0.31963174 0.339740799728483
1170 5.969435 221.13786 1108.5027 0.05732086 0.31481445 0.575926615813495
1171 5.3826542 224.13562 1236.8822 0.050490625 0.28610765 0.661105383387963
1259 10.475398 319.41706 1359.0697 0.076054728 0.26186623 0.325742048070355
1260 8.6299861 359.12596 1675.0571 0.063713282 0.34451802 0.395115791200196
1261 8.1016259 289.42108 1334.6475 0.060523918 0.31591858 0.900320045817035
1262 8.6472695 292.72584 1582.7062 0.059044938 0.31042058 0.421173309950701
1263 9.3190528 319.59797 1613.414 0.059831879 0.31275614 0.438774495562212
1264 7.9840093 333.30891 1689.0996 0.054384339 0.32540909 0.452635679221209
1265 7.7667946 251.02395 1560.7932 0.063387375 0.2741032 0.441354239922601
1266 7.7187781 247.63342 1620.3947 0.065909312 0.27497471 0.31026076652534
1267 6.1744275 206.26141 1142.2605 0.058389069 0.28614277 0.596563043754058
1268 5.3877712 176.10432 967.11526 0.056066069 0.28597504 0.678208256168972
1269 4.9782056 162.86324 958.33518 0.057356574 0.26710336 0.683426380718165
1354 10.60199 353.26634 1384.4888 0.077506754 0.25668972 0.172125835045861
1355 10.209324 315.11235 1249.4062 0.074050427 0.28006927 0.342824312392325
1356 9.6091063 415.25608 1881.9194 0.060041185 0.359043 0.374567063846272
1357 8.1558859 283.95388 1451.2575 0.064445528 0.29915502 0.563457316002803
1358 8.0347102 278.41471 1421.5485 0.059096679 0.29038926 0.872744020408373
1359 9.2288605 317.84753 1884.4254 0.062306454 0.28341417 0.464994122274304
1360 8.9126537 277.74509 1585.6468 0.065161155 0.30640616 0.443859943985674
1361 7.1972708 276.1078 1566.4703 0.058698242 0.28612056 0.496651045203854
1362 8.2622391 238.34938 1408.4905 0.070001596 0.30585145 0.404731515421471
1363 7.1275935 248.63067 1388.7508 0.062348118 0.27916734 0.608817131275146
1364 6.7850159 269.8732 1296.7547 0.052092246 0.3236501 0.621502108735481
1365 5.9309579 186.24282 1063.3535 0.056531483 0.27692757 0.657014703205772
1366 5.1008554 269.34695 1430.8267 0.038268053 0.30258743 0.738316733767367
1367 5.0508442 247.85644 1223.4351 0.037705793 0.32399626 0.756507202127765
1448 10.049742 287.39586 1247.4144 0.13267692 0.1834114 0.000974522602280901
1449 11.739806 332.92992 1386.8651 0.072315921 0.31307911 0.176749383640125
1450 11.856809 306.94261 1377.6959 0.073060712 0.2947544 0.387394525738901
1451 10.494025 367.39169 1482.2706 0.061439946 0.31405756 0.323063018382893
1452 9.1913962 354.88097 1722.1959 0.058553162 0.33538047 0.439448349264257
1453 8.4861052 302.0652 1420.925 0.061372267 0.32589542 0.51654431952692
1454 7.8961237 297.01408 1384.1783 0.059272164 0.30945297 0.875775262109476
