"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
2743 7.2855458 430.14923 1197.347 0.13104733 0.069297176 0.500211011202878
2744 7.1162421 432.52602 1269.7741 0.11521267 0.068695849 0.519010808665042
2745 6.5693624 434.17482 1146.3143 0.10683336 0.077765504 0.557982700240624
2746 6.7273851 426.25755 1133.5188 0.10447922 0.079242384 0.545340426206924
2747 6.7869037 434.52354 1231.3973 0.12975724 0.077767303 0.598715802281415
2748 6.5394586 450.87263 1076.2907 0.10827058 0.087589381 0.740822569459223
2750 6.0377952 409.03249 1315.8936 0.10537744 0.070042364 0.788143483945081
2751 6.5384519 410.79999 1150.1185 0.11411551 0.077628342 0.938506141188358
2897 19.455935 335.44905 1017.713 0.3019704 0.094251935 0.00867132096954963
2898 14.000337 406.10541 1178.908 0.25553528 0.061658679 0.192648332275432
2899 10.577027 447.137 1231.5077 0.19777239 0.05980636 0.235448230734196
2900 8.6044045 415.54609 1226.6576 0.18451463 0.059802885 0.345696802295602
2901 7.7541361 406.48344 1249.7902 0.19473272 0.060971743 0.545942426198964
2902 7.2051752 426.56038 1266.4609 0.15567811 0.065601324 0.555479400197115
2903 7.1099031 397.14832 1187.4269 0.1365093 0.066231993 0.508106871303438
2904 6.8690962 430.53528 1130.6535 0.11324428 0.075583989 0.521737051365228
2905 6.6255815 401.18145 1248.0866 0.11432169 0.068448121 0.551639124028533
2906 6.8789148 465.8065 1136.1787 0.096635704 0.086877999 0.509289283754134
2907 6.8214965 401.32719 1043.2271 0.14253294 0.080890888 0.573672015804
2908 6.2981321 427.71423 1264.3006 0.10687937 0.075514466 0.771491418755082
2910 5.8501487 399.98681 1145.9071 0.10441911 0.075904059 0.795189350660874
2911 5.5550565 423.65543 1152.5438 0.092389524 0.082562284 0.808895392882406
3057 18.595203 444.12053 1192.6065 0.3121159 0.20667338 0.0304233017476588
3058 13.599851 443.46815 1186.9288 0.24251453 0.065600713 0.198069173313094
3059 10.903904 396.53963 1203.3232 0.21810737 0.054074794 0.237715622595559
3060 8.6994836 430.46475 1178.8842 0.18064128 0.062634383 0.330671445232575
3061 7.6639267 428.90696 1228.965 0.18365958 0.067211763 0.555879719920998
3062 6.8440862 386.85617 1028.2294 0.16476413 0.073191319 0.57110564863785
3063 6.8110114 395.81492 1116.8912 0.14008825 0.071073212 0.51609370493051
3064 6.5597679 423.96297 1204.6313 0.1166517 0.073735276 0.519693649560025
3065 6.5350539 445.58207 1267.4974 0.10206908 0.07534103 0.568049072782297
3066 6.8035181 401.55439 1079.4272 0.10933374 0.077970421 0.517840728750275
3067 6.8870627 398.99468 1178.0093 0.11110627 0.073320609 0.537910635708835
3068 6.0569823 401.97563 1190.4534 0.10861091 0.074692454 0.806270556603577
3069 5.8730235 379.43793 1114.4671 0.10832446 0.07548382 0.876178496314857
3070 5.5896817 405.05082 1187.2693 0.098208549 0.075895432 0.802255979597678
3071 5.3569356 394.78352 1119.1545 0.096363588 0.079251589 0.831629731949736
3217 16.921 378.06738 990.94163 0.29559103 0.19060398 0.0525670089346936
3218 13.377372 412.71705 1091.0719 0.25080839 0.066149925 0.200583265843403
3219 10.947235 448.32633 1250.1089 0.2008885 0.059050076 0.247791814116371
3220 9.1125723 415.66385 1143.9792 0.18767659 0.060550535 0.312963400753598
3221 7.1971549 428.51545 1194.9136 0.17049957 0.073506669 0.53124263736912
3222 6.7262379 430.68706 1206.426 0.15179764 0.074853529 0.58602195953459
